year,region,industry,subsector_letter,info_type,data
2007,UK,Transport,H,Average Total Weekly Hours,48966619.71698048
2007,UK,Leisure and Entertainment,I,Average Total Weekly Hours,51398532.177465275
2007,UK,Telecoms,J,Average Total Weekly Hours,39866726.690662704
2007,UK,Financial Services,K,Average Total Weekly Hours,38214179.88543834
2007,UK,Financial Services,L,Average Total Weekly Hours,13168863.410579972
2007,UK,Professional and Business Services,M,Average Total Weekly Hours,74730971.03413734
2007,UK,Professional and Business Services,N,Average Total Weekly Hours,67821581.50464393
2007,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,56192511.59611844
2007,UK,Education and Health,P,Average Total Weekly Hours,61815796.287864685
2007,UK,Education and Health,Q,Average Total Weekly Hours,94496313.47596139
2007,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20931241.385424845
2007,UK,Other Services,S and T,Average Total Weekly Hours,24750502.260391045
2008,UK,All Industries,All Industries,Average Total Weekly Hours,938434253.127325
2008,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,26284558.799225133
2008,UK,Manufacturing,C,Average Total Weekly Hours,97299878.45873773
2008,UK,Construction,F,Average Total Weekly Hours,79092195.88304493
2008,UK,Trade,G,Average Total Weekly Hours,144239785.46292046
2008,UK,Transport,H,Average Total Weekly Hours,49147626.03870446
2008,UK,Leisure and Entertainment,I,Average Total Weekly Hours,50792354.89178711
2008,UK,Telecoms,J,Average Total Weekly Hours,39041320.71640183
2008,UK,Financial Services,K,Average Total Weekly Hours,38529007.894488476
2008,UK,Financial Services,L,Average Total Weekly Hours,13271786.414434843
2008,UK,Professional and Business Services,M,Average Total Weekly Hours,73000285.25893134
2008,UK,Professional and Business Services,N,Average Total Weekly Hours,69949573.35848124
2008,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,53919695.774797
2008,UK,Education and Health,P,Average Total Weekly Hours,60968528.45292787
2008,UK,Education and Health,Q,Average Total Weekly Hours,97135438.20068824
2008,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20977380.515162777
2008,UK,Other Services,S and T,Average Total Weekly Hours,24784837.006591693
2009,UK,All Industries,All Industries,Average Total Weekly Hours,920281841.7462251
